X,YEAR,CARRIER,dep_delay,dep_ontime,arr_delay,arr_ontime,cancelled,diverted,carrier_delay,weather_delay,nas_delay,security_delay,lateAircraft_delay,n,total_flights,delay_arr_pct,ontime_arr_pct,carrier_names
152,2015,WN,265443,980686,236626,1005777,16043,3409,3831371,545369,1669198,11888,6313558,365,1261855,18.75223381,79.70622615,Southwest Airlines Co.
153,2016,AA,154040,750200,175453,725959,10867,2216,3630189,550751,2645952,21871,3860602,366,914495,19.18578013,79.38359422,American Airlines Inc.
154,2016,AS,16915,159605,21196,154817,815,452,292807,33228,345528,4943,320118,366,177280,11.95622744,87.32908394,Alaska Airlines Inc.
155,2016,B6,66646,212102,66137,211874,3797,665,1303388,140844,1017852,12440,1780017,366,282473,23.41356519,75.00681481,JetBlue Airways
156,2016,DL,127928,790802,118938,797958,4116,1734,3363437,492018,1862011,5816,2434638,366,922746,12.88957091,86.47645181,Delta Air Lines Inc.
157,2016,EV,81252,398290,85667,391857,11889,1577,2523487,124933,1372877,0,2288326,366,490990,17.44780953,79.80956842,Atlantic Southeast Airlines
158,2016,F9,20389,73591,21484,72308,1179,150,373745,26202,420193,0,701032,366,95121,22.58596945,76.01686273,Frontier Airlines Inc.
159,2016,HA,4698,71988,6648,69939,118,84,169417,10633,7638,800,85443,366,76789,8.657490005,91.07945148,Hawaiian Airlines Inc.
160,2016,NK,31333,104341,32659,102712,2629,199,328957,29998,1234310,3679,476425,366,138199,23.6318642,74.3218113,Spirit Air Lines
161,2016,OO,87740,510209,97028,498550,8446,1909,2259043,327641,1385439,7025,2768730,366,605933,16.01299154,82.27807365,Skywest Airlines Inc.
162,2016,UA,101841,438008,92841,445349,5470,1407,1854812,311233,1656816,2078,2532015,366,545067,17.03295191,81.70536833,United Air Lines Inc.
163,2016,VX,14484,53993,15577,52680,669,195,172168,44201,324994,3655,343867,366,69121,22.53584294,76.21417514,Virgin America
164,2016,WN,246277,1037530,230611,1049903,15866,3064,3261887,514401,1897007,19618,5867185,366,1299444,17.7468979,80.7963252,Southwest Airlines Co.
